Table Name,record type,record sub_type,purpose,included in beta,FK - On Creation,indexing stradegy,Constraints,On Delete Behavior,record creation trigger,table trigger creation,table trigger record,on creation,on delete,data migration notes,audit requirements
activity_log,tracking,tracking,assign triggers on records to record records here with meta data transactions.  we will build this out to incorperate the website as well.,yes,null,activity_log_pkey,"CHECK (((jsonb_typeof(device) = 'object'::text) OR (device IS NULL))), CHECK (((jsonb_typeof(geo) = 'object'::text) OR (geo IS NULL))), CHECK (((jsonb_typeof(meta) = 'object'::text) OR (meta IS NULL))), CHECK (id IS NOT NULL), PRIMARY KEY (id)",,user actions ,,,,,,
address_contacts,joing table,,"Creates many-to-many relationships between addresses and contacts, allowing a single address to be associated with multiple contacts and vice versa.",,address_contacts has no foreign keys,address_contacts_pkey,"CHECK (id IS NOT NULL), PRIMARY KEY (id)",,addresses / contacts merger on collection,,,,,,
address_opportunities,joing table,,"Creates many-to-many relationships between addresses and opportunities, allowing multiple opportunities to be associated with a single address.",,address_opportunities has no foreign keys,address_opportunities_pkey,"CHECK (id IS NOT NULL), PRIMARY KEY (id)",,addresses / opportunities merger on collection,,,,,,
address_types,identification,identiers for sales and reporting,"commercial, residential, aparement, ect.",yes,null,address_types_pkey,"CHECK (created_at IS NOT NULL), CHECK (display_name IS NOT NULL), CHECK (id IS NOT NULL), CHECK (updated_at IS NOT NULL), PRIMARY KEY (id), NOT NULL (created_at), NOT NULL (display_name), NOT NULL (id), NOT NULL (updated_at)",,UI created,,,,,,
addresses,parental entity,key to the app - builds the entity,"holds a place name, address, geo location",yes,"addresses_address_type_id_fkey: address_type_id → address_types.id
addresses_collection_id_fkey: collection_id → collections.id
addresses_street_id_fkey: street_id → streets.id",addresses_pkey,"CHECK (id IS NOT NULL), CHECK (street IS NOT NULL), FOREIGN KEY (address_type_id) REFERENCES address_types(id), FOREIGN KEY (collection_id) REFERENCES collections(id), FOREIGN KEY (street_id) REFERENCES streets(id), PRIMARY KEY (id), NOT NULL (street)",no delete - make inactive,form,,"""Creates activity_log entry""
""Updates collection.updated_at timestamp""
""Potentially creates neighborhood_streets record if new street""","create - collections record, streets record",no delete - make inactive,,
approval_rules,sales,approvals,"automatic approval of estimates that meet certain criteria (e.g., discount below threshold, margin above minimum), streamlining the process for straightforward cases.",no,approval_rules_created_by_fkey: created_by → users.id,approval_rules_pkey,"CHECK (conditions IS NOT NULL), CHECK (id IS NOT NULL), CHECK (name IS NOT NULL), FOREIGN KEY (created_by) REFERENCES users(id), PRIMARY KEY (id), NOT NULL (conditions), NOT NULL (name)",,,,,,,,
catalog_items,external access,sync up external products for estimating,coming 2nd beta release,no,catalog_items_catalog_id_fkey: catalog_id → external_partner_catalog.id,"catalog_items_pkey, idx_catalog_items_catalog, idx_catalog_items_item_code","CHECK (id IS NOT NULL), CHECK (name IS NOT NULL), CHECK (unit_price IS NOT NULL), FOREIGN KEY (catalog_id) REFERENCES external_partner_catalog(id), PRIMARY KEY (id), NOT NULL (id), NOT NULL (name), NOT NULL (unit_price)",,,,,,,,
collection_contact_roles,collections,role in the collection,"Defines the roles that contacts play within a collection, such as PRIMARY, SPOUSE, AGENT, etc.",yes,"collection_contact_roles_collection_id_fkey: collection_id → collections.id
collection_contact_roles_contact_id_fkey: contact_id → contacts.id","idx_contact_roles_contact, collection_contact_roles_pkey, idx_contact_roles_unique, idx_contact_roles_collection","CHECK (id IS NOT NULL), CHECK (role_type IS NOT NULL), FOREIGN KEY (collection_id) REFERENCES collections(id), FOREIGN KEY (contact_id) REFERENCES contacts(id), PRIMARY KEY (id), NOT NULL (role_type)",,,,,,,,
collection_pulse,joining table,,"Stores activity data and health metrics for collections, enabling activity tracking and scoring.",,collection_pulse_collection_id_fkey: collection_id → collections.id,collection_pulse_pkey,"CHECK (id IS NOT NULL), FOREIGN KEY (collection_id) REFERENCES collections(id), PRIMARY KEY (id)",,collection_id creation,,,,,,
collections,containers,organizes entity data for consumption,our 'pane of glass',YES,null,collections_pkey,"CHECK (id IS NOT NULL), PRIMARY KEY (id)",,addresses record creation,activity log,,,,,
