Component Name,Parent Component,Child Components,Purpose,Data Tables,Props/Inputs,Events/Outputs,Special Considerations
FormBuilder,"AppLayout, EntityPage","ComponentLibrary, FormCanvas, PropertyPanel, FormPreview",Main interface for creating and editing dynamic forms,"form_definitions, form_components, form_component_usage","formDefinitionId, entityTypeId, categoryId","onSave, onPublish, onPreview",Heavy component - use lazy loading; Consider implementing autosave
FormRenderer,"EntityPage, ModalForm","DynamicField, ValidationMessage, FormActions",Renders a form based on JSON schema definition,"form_definitions, form_versions","formDefinitionId, entityId, initialData","onSubmit, onChange, onValidationError",Handles conditional logic; Manages complex validation rules
DocumentBuilder,"EstimatePage, ProposalPage","ComponentPalette, DocumentCanvas, DocumentPreview",Interface for creating and editing document templates with drag-and-drop,"document_templates, document_components","templateId, documentType, collectionId","onSave, onPublish, onPreview",Heavy renderer - consider virtualization for performance
TextInput,"DynamicField, FormSection",ValidationMessage,Renders text input fields with validation,form_component_usage,"fieldName, label, value, rules, placeholder","onChange, onBlur, onFocus",Supports different text types (single-line multi-line masked)
SelectDropdown,"DynamicField, FormSection","DropdownOption, SearchFilter",Renders dropdown selection with options,form_component_usage,"fieldName, label, options, value, isMulti","onChange, onSearch",Supports dynamic loading of options filtering
DatePicker,"DynamicField, FormSection","Calendar, TimeSelector",Date and time selection with calendar,form_component_usage,"fieldName, label, value, format, min, max","onChange, onClear",Handles different date formats and timezones
FileUploader,"DynamicField, FormSection","ProgressBar, FilePreview",Handles file uploads with preview,"form_component_usage, entity_files","fieldName, label, accept, maxSize, multiple","onUpload, onDelete, onError",Integrates with Google Drive storage
PhotoCapture,"DynamicField, FormSection","Camera, PhotoPreview",Takes and processes photos,"form_component_usage, entity_photos, pulse_photos","fieldName, label, quality, maxPhotos","onCapture, onDelete",Mobile camera integration
SignatureField,"DynamicField, FormSection","SignaturePad, UndoButton",Captures handwritten signatures,form_component_usage,"fieldName, label, penColor, lineWidth","onChange, onClear",Canvas-based drawing with touch support
AddressInput,"DynamicField, FormSection",GooglePlacesAutocomplete,Address entry with Google Places,"form_component_usage, addresses","fieldName, label, value, autoComplete","onChange, onSelect",Google Places API integration for auto-completion
FormValidator,FormRenderer,ValidationMessage,Validates form data against rules,form_definitions,"schema, formData, validationStrategy","onValidationError, onValidationSuccess",Supports complex validation rules and custom validators
ConditionalRenderer,FormRenderer,Any component,Shows/hides fields based on conditions,form_definitions,"condition, formData, children",onConditionChange,Evaluates complex conditional logic expressions
FieldDependencyManager,FormRenderer,DynamicField,Manages dependencies between fields,form_definitions,"dependencies, formData",onDependentFieldUpdate,Handles cascading updates between related fields
FormNavigator,FormRenderer,"StepIndicator, NavButtons",Multi-step form navigation,form_definitions,"currentStep, totalSteps, formData","onStepChange, onComplete",Manages form state across multiple steps
ContactForm,"EntityPage, Modal","FormRenderer, FormActions",Collects and manages contact data,"contacts, contact_types","contactId, contactTypeId, collectionId","onSubmit, onCancel",Dynamic fields based on contact type
OpportunityForm,"EntityPage, Modal","FormRenderer, FormActions",Collects and manages opportunity data,"opportunities, opportunity_types","opportunityId, opportunityTypeId, collectionId","onSubmit, onCancel",Multi-step form with category and type-specific fields
PropertyConditionForm,AddressForm,"FormRenderer, PhotoCapture",Documents property condition,addresses,"addressId, formData","onSubmit, onCancel",Expandable section with photo upload capability
InsuranceDetailsForm,OpportunityForm,"FormRenderer, FormActions",Collects insurance claim information,opportunities,"opportunityId, claimType","onSubmit, onCancel",Specialized fields for insurance workflows
EstimateCalculator,EstimateForm,"LineItems, TotalCalculation",Calculates pricing for estimates,"sales_engine_items, sales_engine_item_zones","opportunityId, zoneId, items","onCalculate, onItemChange",Zone-based pricing integration
